cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1110,0.222477476161104,0.138364315447641,514,357,358,1111,675,1624,-0.0399998739020176,0.999199684791695,-0.851621011940513,-0.524158041072935,0.94028835608336,-0.340378917405372
1111,0.220536789580835,0.159533278561436,514,513,357,1265,761,1110,0.836554227207337,0.547884134595569,-0.892453372208185,0.451139644050751,0.0399998739020176,-0.999199684791695
1112,0.257876800081294,-0.412593550703652,732,611,612,1339,1095,1120,-0.859322524510959,0.511434061114541,-7.32747196252612e-15,-1.0,0.884230531869943,0.467050710853754
1113,0.288075960455216,-0.412696249624649,733,612,613,1120,1079,129,-0.861137092345021,0.508372804335129,1.09912079437889e-14,-1.0,0.877698758206364,0.47921278138527
1114,0.135394962253187,-0.37589003635276,836,835,728,1193,1092,1147,0.0055065518825247,0.999984838828252,-0.869369559802709,-0.494162491988662,0.88641970283475,-0.46288239373123
1115,0.412671600526026,-0.288133998712335,738,620,621,1204,915,1136,-0.473762055248591,-0.880652891329286,1.0,-0.0,-0.511478226473047,0.859296237536268
1116,0.263935492712187,0.0228879143055035,517,360,361,1117,197,1272,0.334300991734769,0.942466363816317,-0.982211342811491,-0.187778800860076,0.75308393433473,-0.657924454513528
1117,0.27017894518964,0.0436868973037389,517,516,360,733,540,1116,0.98466846945395,0.174436249854254,-0.650570446103227,0.759445912924053,-0.334300991734769,-0.942466363816317
1118,0.0606060606060609,0.439010817018332,547,391,392,923,279,1119,0.865155466932968,-0.501503756751631,0.0,1.0,-0.865155466932967,-0.501503756751632
1119,0.0454545454545458,0.43029807659238,547,392,548,1118,916,1328,0.865155466932967,0.501503756751632,-0.865155466932968,0.501503756751629,-3.66373598126303e-15,-1.0
1120,0.273225487809237,-0.403704464161873,732,612,733,1112,1113,1476,-0.884230531869943,-0.467050710853754,0.861137092345021,-0.508372804335129,0.0102722879442365,0.999947238658316
1121,0.242966936554428,-0.386404504508303,839,731,732,1373,1339,1516,-0.856023494805435,0.516936917177609,0.0268163118043009,-0.999640378046633,0.856637236384345,0.515919223561007
1122,0.0302626340485609,-0.438951169225855,604,450,451,1051,112,1123,-0.868357587058069,0.495938606078099,0.0,-1.0,0.864906380807734,0.501933215117377
