triID,cx,cy,v1,v2,v3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1660,0.363283923395785,-0.0157214117335147,983,855,856,214,1560,1659,-0.538778429680528,-0.842447507985503,0.999793585223922,0.0203171588834927,-0.570141228144903,0.821546699810438
1661,0.319242741100384,0.360376159488078,917,773,774,1721,1409,1584,0.877390944209941,-0.479776125936242,-0.0460403566592713,0.998939580534622,-0.863262032045071,-0.50475604407418
1662,0.360676783879193,0.348625437739638,1006,867,868,1834,1596,1410,-0.468018245562331,-0.883718802459672,0.997337876680618,0.0729188572194896,-0.707676007265574,0.70653709650708
1663,-0.0443397559273144,-0.359864497534849,1004,830,831,1664,1501,1636,-0.861049120430663,0.508521791278979,-0.107765946023391,-0.994176292655223,0.929991373644916,0.367581344665425
1664,-0.057594752503094,-0.348922420899497,1004,990,830,1458,1502,1663,0.0956481649509581,0.995415204094007,-0.929433566564133,-0.368989492186262,0.861049120430663,-0.508521791278979
1665,0.350078423312213,-0.275728676416791,964,963,847,1769,1601,1767,-0.997251078794263,0.0740964630983,0.52116065931549,-0.853458591369168,0.51734087228464,0.855779423603867
1666,0.351891531913453,-0.211723522948838,965,849,966,1710,1653,1963,0.501503756751625,-0.865155466932971,0.530545448660301,0.847656491101106,-0.999999700966086,0.000773348393619179
1667,-0.33475707686225,-0.179622910240803,1030,942,943,1976,1784,1872,0.681488096806514,0.731829197225032,-0.992650760833678,0.121014325665685,0.50087010769284,-0.865522463729141
1668,-0.270777348649841,-0.109078933196138,1065,536,1120,2009,2006,1610,0.62849482936514,-0.777813762710126,0.489348704222335,0.872088209802152,-0.999824572697647,0.0187302917747805
1669,0.325862423845865,-0.226294461509347,1059,1040,965,2049,1860,1963,-0.99933406015533,-0.0364888505363269,0.505142414505209,-0.86303600218522,0.55636143351383,0.830940404179768
1670,0.350258228436164,-0.180587128696804,967,966,850,1709,1653,1314,-0.99330993993035,-0.115478843237906,0.520177014467849,-0.85405847201425,0.479106953839714,0.877756530469828
1671,-0.269573392059842,0.194307153862367,902,651,901,1716,1715,1851,-0.133325101455557,-0.991072357258473,0.959516641223419,0.281651939839456,-0.711609500098106,0.702575205490575
1672,-0.275075332669388,0.349601369016759,930,793,931,1464,1652,1961,0.84894255149825,0.528485140997968,-0.852862734217551,0.522135189948889,0.100490498389309,-0.994938018036032
1673,-0.0225191983356988,0.332079363951098,1010,997,880,1678,1504,1250,-0.0786634931083887,0.996901226226544,-0.786846834721972,-0.61714832794719,0.940870820209388,-0.33876555267399
1674,0.00796490305535645,0.336509929912935,984,1010,881,998,1250,1790,-0.256689910923602,0.966493812515131,-0.69974936109828,-0.714388431907005,0.999902078390719,-0.0139940569500057
1675,-0.358719098065434,0.290183328214099,933,798,799,956,1530,1396,0.400855947963409,0.916141096656163,-0.999526076010551,-0.0307834919226124,0.520838313157127,-0.853655347050342
1676,-0.360377663898911,0.319263660137816,932,797,798,1392,1404,956,0.479776125936239,0.877390944209943,-0.998942053582486,-0.045986667463573,0.503134228874219,-0.864208277983464
